zös	4784
eßl	3625
für	57783
Höc	463
säc	2412
lär	3415
lät	2200
Süd	10526
rüs	1181
räf	2283
Kür	269
zäh	4111
Jäg	303
wäh	10884
Kör	994
röß	5207
 üb	33566
Für	5695
tär	6076
fün	4329
kür	920
Mär	6677
füg	3042
hör	13738
Säb	51
füh	17737
rüm	249
Län	3036
ußi	1435
növ	89
kör	1141
hüt	3701
röc	59
Tür	1124
iß.	63
tür	2543
Män	2203
läu	3553
fäl	2947
län	7703
wür	2784
rün	14870
 Är	588
läg	982
 äh	1162
för	3672
räg	6590
müb	13
züg	1213
lös	3761
näc	5931
tän	7058
höh	2699
näh	1243
Wör	298
eän	316
tät	19561
uß 	711
Höh	3389
eöf	210
tüt	3078
 Üb	6007
mäß	2951
oßv	424
bän	933
räd	335
Häl	1025
mög	4157
uße	7437
räs	5247
rüc	11980
 ös	3880
nör	2540
süd	6572
nüb	2046
Käm	681
Näh	1543
Mül	1152
töt	734
aß 	1109
aße	10187
Rüc	2945
fäh	2732
Mög	997
röf	7606
Mör	258
räb	813
züb	137
Lüt	262
eß 	3044
höp	372
Wäh	3387
oße	7003
käm	1806
uß.	45
lüc	1727
 äu	962
dös	1308
Lüc	147
där	211
Wäl	276
Züg	466
hür	580
rüb	2208
lüg	1886
gül	783
löc	323
kön	5670
Näc	88
wär	2387
häl	3911
sät	3068
höf	933
häf	4478
Müh	1103
nöt	838
hät	2011
Säg	137
 Äx	10
rät	2042
tüc	3157
eßb	140
män	1922
rüh	6038
bün	439
uß,	54
gän	3028
Fäl	478
räu	2282
päe	66
wäc	702
iäh	3
wäl	725
völ	2248
Häf	194
Dör	733
pät	10548
 Äg	339
Hän	874
Säc	247
läs	2903
rän	3688
Gär	316
läa	32
eße	5860
Düs	820
köp	303
Köl	1473
 öf	2118
räl	125
Küs	1502
Tät	1357
För	976
oßh	387
fän	1215
Gün	560
küs	821
mün	1500
lüs	1721
Mün	4411
bäu	5566
wüs	249
eßg	67
wäs	1000
läc	3157
täd	2363
Sän	1187
Kün	2947
büh	550
hül	2095
Kön	5968
jüd	1365
Bür	3325
bür	1829
Wün	112
Säm	78
hön	1686
häs	96
fül	1049
Güt	917
wün	364
töc	411
wör	341
Mäd	843
iß 	608
räc	968
Sät	230
Gäs	332
wöh	794
nüg	322
Hüt	753
Tüb	379
Wür	1487
rüf	1207
näm	289
Fün	507
Nür	898
Süh	60
häd	1303
Häg	30
Pär	31
höc	1727
büt	2124
möo	23
sön	1241
 Äl	198
Jün	206
büc	687
täg	572
Röt	117
Täs	7
eßu	380
Wüs	317
ußb	2728
aßs	61
täb	143
 äl	2073
Häu	1302
kün	2860
iße	2275
häu	2907
Läd	45
Küh	457
jäh	3726
wöl	1695
oüb	25
hüg	364
Höy	13
rös	787
 Ös	2408
 ÖV	96
NÖ 	13
Söh	870
Völ	436
Bän	418
jün	1216
Büh	1485
küh	280
müs	1312
gär	160
hän	3752
fäß	219
Fäc	209
Büc	947
däc	429
 än	489
Säu	585
gür	198
Zür	972
gäs	171
zün	274
tör	2200
Bög	99
müc	335
bäc	110
ißi	344
Höf	266
müh	1601
oßg	129
mäl	1280
Jän	277
Gän	155
 ÖB	27
PÖ 	76
PÖ.	8
zög	291
Tün	8
Lüd	118
Kän	17
Hüh	101
Küc	337
Dük	7
Söl	82
Bül	102
 Öl	523
Füh	1262
höl	494
Löw	386
röm	1979
päp	109
Röm	515
wäg	100
iöz	384
 Öf	918
oßb	774
 Ök	352
oök	35
päi	1670
Dän	726
Gör	261
säm	344
häo	783
rön	978
Lär	58
Bäu	283
Lös	606
Nüb	7
nös	556
Käu	115
tüm	1046
Möb	172
eßs	84
ußs	85
fär	551
näs	83
küm	277
Lüm	1
 äß	1
pül	99
Fär	205
pär	67
lüt	668
Züc	33
iös	661
eäu	69
Böd	87
eßt	1582
büs	106
säg	71
Rän	216
täm	304
oßm	320
rüg	443
 Äu	158
wän	572
aßw	93
bög	188
Möl	89
köd	6
 Äh	298
käl	37
 Äs	151
fäd	83
süß	63
säu	856
röt	330
löZ	1
gäß	2
vät	200
sän	599
löt	533
Möh	38
ißw	36
Hün	64
gäu	103
Mön	513
rüd	987
Zäp	2
Hör	709
möb	81
oß 	864
nüt	376
mär	412
räv	70
sün	26
gün	438
Hüf	78
nöd	157
Rös	115
Rüd	103
päd	737
oßs	307
Läu	116
aßg	368
 ü.	80
röl	174
söl	6
aöl	17
läd	169
Sör	32
räh	154
Tän	244
säl	66
röh	254
Lüb	475
möd	604
Rüg	79
Göt	857
pön	9
Päd	451
Nöt	41
 ÖP	44
Hüg	758
NÖV	3
tün	172
mül	268
Böh	537
nöl	31
när	970
wöc	222
täu	341
Süm	24
Sül	52
tüs	6
 Ün	21
kül	184
Kül	45
käs	113
Mäh	169
täl	214
päc	111
rär	182
löl	11
Fäh	759
Zäh	303
dür	951
ißr	192
Wül	43
Käs	96
Näf	34
Kär	152
 Äb	126
räi	224
 ör	511
eüb	153
oßt	463
mäs	135
röd	246
rüß	143
töd	146
hüs	254
Lüg	77
här	729
eßü	5
hüc	60
hüb	91
mör	99
läh	60
gäh	9
RÄG	4
iß,	131
tüh	202
söd	4
OÖ 	2
OÖ.	2
Cäs	18
räp	137
Töc	521
Nör	406
Füß	89
Höt	10
mäc	523
Jäh	466
räm	449
zöf	11
Böt	65
Töp	100
fäc	134
düs	80
 ök	257
rüt	110
dün	302
Hül	110
jäg	164
Wän	206
Gön	31
Höl	239
Sün	121
Kög	23
Rön	222
Räu	691
 Äm	322
 öd	22
aß.	117
Jür	390
Rüt	68
 Öz	96
lök	29
Däh	62
bäl	82
Mäg	17
wäb	122
Päp	84
ißt	685
süb	465
löd	23
müt	295
iät	23
Bäd	32
küb	34
Töd	35
räz	192
Bös	146
läm	79
Dün	189
eß.	454
Mät	15
mäd	109
pür	184
Köp	246
ißn	72
aßb	236
Mäc	87
mäu	236
Nüß	3
säß	38
däu	27
oßf	235
 Än	400
Däm	144
aßl	173
päh	27
lüf	121
 ÖA	25
Räd	127
säs	419
 Äq	56
küc	49
rüp	60
Säl	48
töß	192
käu	386
rür	1
näg	14
ußg	117
dör	113
büg	23
Löc	56
mäh	315
oß,	103
ißl	130
Lää	4
iä 	96
Tön	148
tüd	15
Läc	37
Höp	7
röp	75
Hög	33
vös	25
Kös	84
ußm	23
ißu	13
söh	163
räe	3
nüp	387
göt	108
Wös	5
cäa	4
säk	58
Küp	49
föd	151
