der	40492
und	40384
die	30426
in 	29966
ein	29502
von	19083
des	14482
im 	14119
wur	13761
mit	13030
er 	11327
Die	11240
den	11110
das	11073
auf	10582
dem	9668
ver	9468
ist	9354
war	9237
als	8855
sei	8604
Sch	8585
für	8332
aus	8223
zu 	8100
sic	6974
bei	6811
an 	6756
Ver	6392
am 	5367
Jah	5309
bis	5265
sie	5249
nac	5085
übe	4873
Der	4854
Sta	4828
Ein	4721
zum	4495
auc	4477
ers	4274
bes	4071
hat	3827
sch	3804
unt	3798
zur	3722
dur	3709
Das	3509
Im 	3469
vor	3414
Nac	3371
ihr	3282
ent	3113
wie	3092
wir	3031
Mit	3026
nic	2844
Aus	2835
Er 	2831
sta	2792
sin	2772
Pro	2767
In 	2757
zwe	2751
Mar	2715
Sie	2698
Ber	2669
Fra	2640
wer	2639
Auf	2588
Lan	2575
wei	2571
Ges	2551
es 	2513
ges	2496
Sei	2480
sow	2443
um 	2329
geg	2256
Gem	2202
ode	2143
Reg	2112
Str	2108
all	2084
gew	2067
Zei	2048
and	2035
geh	2029
Vor	2020
Unt	2014
vom	1944
Spi	1941
deu	1928
lie	1909
Hau	1836
Ste	1809
ste	1786
erh	1770
Man	1704
Uni	1703
neu	1680
Bei	1670
Mus	1664
kon	1642
Wei	1630
meh	1622
Her	1617
vie	1608
Kon	1605
bef	1594
Bes	1589
Am 	1573
Tei	1550
Geb	1527
noc	1523
Par	1518
ang	1516
Ort	1513
Fil	1501
de 	1500
Pla	1490
Kir	1489
dar	1470
Bau	1465
Es 	1462
of 	1443
Wel	1438
Hei	1432
zwi	1430
beg	1426
Gru	1424
ber	1423
nur	1395
abe	1391
Lei	1379
dre	1378
geb	1376
Rei	1371
Kar	1355
Gra	1317
bet	1313
Fre	1308
err	1308
fol	1302
spä	1297
jed	1283
Kom	1276
Fri	1263
etw	1256
Kin	1248
Ins	1245
Stu	1244
gen	1244
Han	1237
erf	1235
sol	1234
The	1221
zus	1216
For	1209
ins	1202
Nam	1194
Cha	1187
Per	1181
Wer	1178
Nor	1166
hin	1166
Kri	1160
gel	1151
Nat	1147
Joh	1146
füh	1137
Deu	1119
Mai	1111
ihn	1102
bek	1101
her	1099
Sai	1087
for	1084
Dor	1083
kam	1082
Von	1076
Aug	1075
